smiles,doi,title,publisher,year,access,compound_id,target_type,target_relation,target_value,target_units,bacteria,bacteria_unified,page_bacteria,origin_bacteria,section_bacteria,subsection_bacteria,page_target,origin_target,section_target,subsection_target,page_scaffold,origin_scaffold,page_residue,origin_residue,pdf
ClN1N=C(c2c(-c3ccccc3)[nH]c3ccccc23)CC1c1nc2ccccc2[nH]1,10.3390/antibiotics10081002,Synthesis of Antimicrobial Benzimidazole–Pyrazole Compounds and Their Biological Activities,MDPI AG,2021,1,31a,MIC,'=',8,µg mL-1,Escherichia coli (MTCC-723),nan,7,table 2 (caption),nan,nan,7,table 2,nan,nan,6,scheme 9,6.0,scheme 9,antibiotics10081002
CN1N=C(c2c(-c3ccccc3)[nH]c3ccccc23)CC1c1nc2ccccc2[nH]1,10.3390/antibiotics10081002,Synthesis of Antimicrobial Benzimidazole–Pyrazole Compounds and Their Biological Activities,MDPI AG,2021,1,31b,MIC,'=',32,µg mL-1,Escherichia coli (MTCC-723),nan,7,table 2 (caption),nan,nan,7,table 2,nan,nan,6,scheme 9,6.0,scheme 9,antibiotics10081002
c1ccc(-c2[nH]c3ccccc3c2C2=NNC(c3nc4ccccc4[nH]3)C2)cc1,10.3390/antibiotics10081002,Synthesis of Antimicrobial Benzimidazole–Pyrazole Compounds and Their Biological Activities,MDPI AG,2021,1,31c,MIC,'=',128,µg mL-1,Escherichia coli (MTCC-723),nan,7,table 2 (caption),nan,nan,7,table 2,nan,nan,6,scheme 9,6.0,scheme 9,antibiotics10081002
ClN1N=C(c2c(-c3ccccc3)[nH]c3ccc(-c4ccccc4)cc23)CC1c1nc2ccccc2[nH]1,10.3390/antibiotics10081002,Synthesis of Antimicrobial Benzimidazole–Pyrazole Compounds and Their Biological Activities,MDPI AG,2021,1,32a,MIC,'=',8,µg mL-1,Escherichia coli (MTCC-723),nan,7,table 2 (caption),nan,nan,7,table 2,nan,nan,6,scheme 9,6.0,scheme 9,antibiotics10081002
CN1N=C(c2c(-c3ccccc3)[nH]c3ccc(-c4ccccc4)cc23)CC1c1nc2ccccc2[nH]1,10.3390/antibiotics10081002,Synthesis of Antimicrobial Benzimidazole–Pyrazole Compounds and Their Biological Activities,MDPI AG,2021,1,32b,MIC,'=',32,µg mL-1,Escherichia coli (MTCC-723),nan,7,table 2 (caption),nan,nan,7,table 2,nan,nan,6,scheme 9,6.0,scheme 9,antibiotics10081002
c1ccc(-c2ccc3[nH]c(-c4ccccc4)c(C4=NNC(c5nc6ccccc6[nH]5)C4)c3c2)cc1,10.3390/antibiotics10081002,Synthesis of Antimicrobial Benzimidazole–Pyrazole Compounds and Their Biological Activities,MDPI AG,2021,1,32c,MIC,'=',32,µg mL-1,Escherichia coli (MTCC-723),nan,7,table 2 (caption),nan,nan,7,table 2,nan,nan,6,scheme 9,6.0,scheme 9,antibiotics10081002
CC1=NNC(=O)/C1=N\Nc1ccc(-c2nc3ccccc3[nH]2)cc1,10.3390/antibiotics10081002,Synthesis of Antimicrobial Benzimidazole–Pyrazole Compounds and Their Biological Activities,MDPI AG,2021,1,39a,MIC,'=',"62,5",µg mL-1,Escherichia coli ATCC 25922,nan,9,table 3 (caption),nan,nan,9,table 3,nan,nan,8,scheme 11,8.0,scheme 11,antibiotics10081002
CC1=NN(c2ccccc2)C(=O)/C1=N\Nc1ccc(-c2nc3ccccc3[nH]2)cc1,10.3390/antibiotics10081002,Synthesis of Antimicrobial Benzimidazole–Pyrazole Compounds and Their Biological Activities,MDPI AG,2021,1,39b,MIC,'=',"62,5",µg mL-1,Escherichia coli ATCC 25922,nan,9,table 3 (caption),nan,nan,9,table 3,nan,nan,8,scheme 11,8.0,scheme 11,antibiotics10081002
CC1=NN(c2ccc(Cl)cc2)C(=O)/C1=N\Nc1ccc(-c2nc3ccccc3[nH]2)cc1,10.3390/antibiotics10081002,Synthesis of Antimicrobial Benzimidazole–Pyrazole Compounds and Their Biological Activities,MDPI AG,2021,1,39c,MIC,'=',"7,81",µg mL-1,Escherichia coli ATCC 25922,nan,9,table 3 (caption),nan,nan,9,table 3,nan,nan,8,scheme 11,8.0,scheme 11,antibiotics10081002
CC1=NN(c2ccc(F)cc2)C(=O)/C1=N\Nc1ccc(-c2nc3ccccc3[nH]2)cc1,10.3390/antibiotics10081002,Synthesis of Antimicrobial Benzimidazole–Pyrazole Compounds and Their Biological Activities,MDPI AG,2021,1,39d,MIC,'=',"7,81",µg mL-1,Escherichia coli ATCC 25922,nan,9,table 3 (caption),nan,nan,9,table 3,nan,nan,8,scheme 11,8.0,scheme 11,antibiotics10081002
COc1ccc(N2N=C(C)/C(=N/Nc3ccc(-c4nc5ccccc5[nH]4)cc3)C2=O)cc1,10.3390/antibiotics10081002,Synthesis of Antimicrobial Benzimidazole–Pyrazole Compounds and Their Biological Activities,MDPI AG,2021,1,39e,MIC,'=',"62,5",µg mL-1,Escherichia coli ATCC 25922,nan,9,table 3 (caption),nan,nan,9,table 3,nan,nan,8,scheme 11,8.0,scheme 11,antibiotics10081002
CC1=NN(c2cccc(Cl)c2)C(=O)/C1=N\Nc1ccc(-c2nc3ccccc3[nH]2)cc1,10.3390/antibiotics10081002,Synthesis of Antimicrobial Benzimidazole–Pyrazole Compounds and Their Biological Activities,MDPI AG,2021,1,39f,MIC,'=',"7,81",µg mL-1,Escherichia coli ATCC 25922,nan,9,table 3 (caption),nan,nan,9,table 3,nan,nan,8,scheme 11,8.0,scheme 11,antibiotics10081002
CC1=NN(c2cccc(F)c2)C(=O)/C1=N\Nc1ccc(-c2nc3ccccc3[nH]2)cc1,10.3390/antibiotics10081002,Synthesis of Antimicrobial Benzimidazole–Pyrazole Compounds and Their Biological Activities,MDPI AG,2021,1,39g,MIC,'=',"15,62",µg mL-1,Escherichia coli ATCC 25922,nan,9,table 3 (caption),nan,nan,9,table 3,nan,nan,8,scheme 11,8.0,scheme 11,antibiotics10081002
CC1=NN(C(N)=S)C(=O)/C1=N\Nc1ccc(-c2nc3ccccc3[nH]2)cc1,10.3390/antibiotics10081002,Synthesis of Antimicrobial Benzimidazole–Pyrazole Compounds and Their Biological Activities,MDPI AG,2021,1,39h,MIC,'=',125,µg mL-1,Escherichia coli ATCC 25922,nan,9,table 3 (caption),nan,nan,9,table 3,nan,nan,8,scheme 11,8.0,scheme 11,antibiotics10081002
CC1=NN(C2CCC(N=C=O)C2)C(=O)/C1=N\Nc1ccc(-c2nc3ccccc3[nH]2)cc1,10.3390/antibiotics10081002,Synthesis of Antimicrobial Benzimidazole–Pyrazole Compounds and Their Biological Activities,MDPI AG,2021,1,39i,MIC,'=',"62,5",µg mL-1,Escherichia coli ATCC 25922,nan,9,table 3 (caption),nan,nan,9,table 3,nan,nan,8,scheme 11,8.0,scheme 11,antibiotics10081002
Cc1ccc(-n2nc(C)c(-c3c(C#N)c(N)n4c(nc5cc(C)ccc54)c3C#N)c2Cc2ccccc2)cc1,10.3390/antibiotics10081002,Synthesis of Antimicrobial Benzimidazole–Pyrazole Compounds and Their Biological Activities,MDPI AG,2021,1,61a,MIC,'=',200,µg mL-1,E. coli,nan,12,table 5,nan,nan,12,table 5,nan,nan,11,scheme 15,11.0,scheme 15,antibiotics10081002
Cc1ccc(Cc2c(-c3c(C#N)c(N)n4c(nc5cc(C)ccc54)c3C#N)c(C)nn2-c2ccc(C)cc2)cc1,10.3390/antibiotics10081002,Synthesis of Antimicrobial Benzimidazole–Pyrazole Compounds and Their Biological Activities,MDPI AG,2021,1,61b,MIC,'=',250,µg mL-1,E. coli,nan,12,table 5,nan,nan,12,table 5,nan,nan,11,scheme 15,11.0,scheme 15,antibiotics10081002
Cc1ccc(-n2nc(C)c(-c3c(C#N)c(N)n4c(nc5cc(C)ccc54)c3C#N)c2Cc2ccc(Cl)cc2)cc1,10.3390/antibiotics10081002,Synthesis of Antimicrobial Benzimidazole–Pyrazole Compounds and Their Biological Activities,MDPI AG,2021,1,61c,MIC,'=',"62,5",µg mL-1,E. coli,nan,12,table 5,nan,nan,12,table 5,nan,nan,11,scheme 15,11.0,scheme 15,antibiotics10081002
O=C(c1cccnc1)n1c(-c2cn(-c3ccccc3)nc2-c2ccc(F)cc2)nc2ccccc21,10.3390/antibiotics10081002,Synthesis of Antimicrobial Benzimidazole–Pyrazole Compounds and Their Biological Activities,MDPI AG,2021,1,67,MIC,'=',"0,98",µg mL-1,E. coli,nan,12,text,"2. Synthesis, Antimicrobial Activities of Benzimidazole–Pyrazole Compounds. Benzimidazole–Pyrazole Compounds as Potent DNA Gyrase and Topoisomerase IV Inhibitors",2.1. Benzimidazoles Substituted in the “2” Position with Pyrazole Moiety,12,text,"2. Synthesis, Antimicrobial Activities of Benzimidazole–Pyrazole Compounds. Benzimidazole–Pyrazole Compounds as Potent DNA Gyrase and Topoisomerase IV Inhibitors",2.1. Benzimidazoles Substituted in the “2” Position with Pyrazole Moiety,13,scheme 17,nan,nan,antibiotics10081002
CCCCn1c(Cc2cc(C)[nH]n2)nc2ccccc21,10.3390/antibiotics10081002,Synthesis of Antimicrobial Benzimidazole–Pyrazole Compounds and Their Biological Activities,MDPI AG,2021,1,70,MIC,'=',50,µg mL-1,E. coli,nan,13,text,"2. Synthesis, Antimicrobial Activities of Benzimidazole–Pyrazole Compounds. Benzimidazole–Pyrazole Compounds as Potent DNA Gyrase and Topoisomerase IV Inhibitors",2.1. Benzimidazoles Substituted in the “2” Position with Pyrazole Moiety,13,text,"2. Synthesis, Antimicrobial Activities of Benzimidazole–Pyrazole Compounds. Benzimidazole–Pyrazole Compounds as Potent DNA Gyrase and Topoisomerase IV Inhibitors",2.1. Benzimidazoles Substituted in the “2” Position with Pyrazole Moiety,14,scheme 18,nan,nan,antibiotics10081002
Cn1c(-c2c(S(=O)(=O)c3ccccc3)nnc3c(-c4ccc(Cl)cc4)cnn23)nc2ccccc21,10.3390/antibiotics10081002,Synthesis of Antimicrobial Benzimidazole–Pyrazole Compounds and Their Biological Activities,MDPI AG,2021,1,74,MIC,'=',"16,5",µg mL-1,Escherichia coli anaerobic,nan,14,table 6,nan,nan,14,table 6,nan,nan,14,scheme 19,nan,nan,antibiotics10081002
c1ccc(C2CC(c3ccc(NCn4cnc5ccccc54)cc3)=NN2c2ccccc2)cc1,10.3390/antibiotics10081002,Synthesis of Antimicrobial Benzimidazole–Pyrazole Compounds and Their Biological Activities,MDPI AG,2021,1,88a,MIC,'=',"31,25",µg mL-1,Escherichia coli ATCC 25922,nan,17,table 10 (caption),nan,nan,17,table 10,nan,nan,18,scheme 24,18.0,scheme 24,antibiotics10081002
COc1ccc(C2CC(c3ccc(NCn4cnc5ccccc54)cc3)=NN2c2ccccc2)cc1,10.3390/antibiotics10081002,Synthesis of Antimicrobial Benzimidazole–Pyrazole Compounds and Their Biological Activities,MDPI AG,2021,1,88b,MIC,'=',"62,5",µg mL-1,Escherichia coli ATCC 25922,nan,17,table 10 (caption),nan,nan,17,table 10,nan,nan,18,scheme 24,18.0,scheme 24,antibiotics10081002
Cc1ccc(C2CC(c3ccc(NCn4cnc5ccccc54)cc3)=NN2c2ccccc2)cc1,10.3390/antibiotics10081002,Synthesis of Antimicrobial Benzimidazole–Pyrazole Compounds and Their Biological Activities,MDPI AG,2021,1,88c,MIC,'=',"62,5",µg mL-1,Escherichia coli ATCC 25922,nan,17,table 10 (caption),nan,nan,17,table 10,nan,nan,18,scheme 24,18.0,scheme 24,antibiotics10081002
Nc1ccc(C2CC(c3ccc(NCn4cnc5ccccc54)cc3)=NN2c2ccccc2)cc1,10.3390/antibiotics10081002,Synthesis of Antimicrobial Benzimidazole–Pyrazole Compounds and Their Biological Activities,MDPI AG,2021,1,88d,MIC,'=',"62,5",µg mL-1,Escherichia coli ATCC 25922,nan,17,table 10 (caption),nan,nan,17,table 10,nan,nan,18,scheme 24,18.0,scheme 24,antibiotics10081002
Clc1ccc(C2CC(c3ccc(NCn4cnc5ccccc54)cc3)=NN2c2ccccc2)cc1,10.3390/antibiotics10081002,Synthesis of Antimicrobial Benzimidazole–Pyrazole Compounds and Their Biological Activities,MDPI AG,2021,1,88e,MIC,'=',"15,62",µg mL-1,Escherichia coli ATCC 25922,nan,17,table 10 (caption),nan,nan,17,table 10,nan,nan,18,scheme 24,18.0,scheme 24,antibiotics10081002
Oc1ccc(C2CC(c3ccc(NCn4cnc5ccccc54)cc3)=NN2c2ccccc2)cc1,10.3390/antibiotics10081002,Synthesis of Antimicrobial Benzimidazole–Pyrazole Compounds and Their Biological Activities,MDPI AG,2021,1,88f,MIC,'=',"62,5",µg mL-1,Escherichia coli ATCC 25922,nan,17,table 10 (caption),nan,nan,17,table 10,nan,nan,18,scheme 24,18.0,scheme 24,antibiotics10081002
Fc1ccc(C2CC(c3ccc(NCn4cnc5ccccc54)cc3)=NN2c2ccccc2)cc1,10.3390/antibiotics10081002,Synthesis of Antimicrobial Benzimidazole–Pyrazole Compounds and Their Biological Activities,MDPI AG,2021,1,88g,MIC,'=',"15,62",µg mL-1,Escherichia coli ATCC 25922,nan,17,table 10 (caption),nan,nan,17,table 10,nan,nan,18,scheme 24,18.0,scheme 24,antibiotics10081002
O=[N+]([O-])c1ccc(C2CC(c3ccc(NCn4cnc5ccccc54)cc3)=NN2c2ccccc2)cc1,10.3390/antibiotics10081002,Synthesis of Antimicrobial Benzimidazole–Pyrazole Compounds and Their Biological Activities,MDPI AG,2021,1,88h,MIC,'=',"15,62",µg mL-1,Escherichia coli ATCC 25922,nan,17,table 10 (caption),nan,nan,17,table 10,nan,nan,18,scheme 24,18.0,scheme 24,antibiotics10081002
FC(F)(F)c1ccc(C2CC(c3ccc(NCn4cnc5ccccc54)cc3)=NN2c2ccccc2)cc1,10.3390/antibiotics10081002,Synthesis of Antimicrobial Benzimidazole–Pyrazole Compounds and Their Biological Activities,MDPI AG,2021,1,88i,MIC,'=',"7,81",µg mL-1,Escherichia coli ATCC 25922,nan,17,table 10 (caption),nan,nan,17,table 10,nan,nan,18,scheme 24,18.0,scheme 24,antibiotics10081002
C=Cc1ccc(C2CC(c3ccc(NCn4cnc5ccccc54)cc3)=NN2c2ccccc2)cc1,10.3390/antibiotics10081002,Synthesis of Antimicrobial Benzimidazole–Pyrazole Compounds and Their Biological Activities,MDPI AG,2021,1,88j,MIC,'=',"31,25",µg mL-1,Escherichia coli ATCC 25922,nan,17,table 10 (caption),nan,nan,17,table 10,nan,nan,18,scheme 24,18.0,scheme 24,antibiotics10081002
COc1cc(C2CC(c3ccc(NCn4cnc5ccccc54)cc3)=NN2c2ccccc2)ccc1O,10.3390/antibiotics10081002,Synthesis of Antimicrobial Benzimidazole–Pyrazole Compounds and Their Biological Activities,MDPI AG,2021,1,88k,MIC,'=',"62,5",µg mL-1,Escherichia coli ATCC 25922,nan,17,table 10 (caption),nan,nan,17,table 10,nan,nan,18,scheme 24,18.0,scheme 24,antibiotics10081002
O=[N+]([O-])c1cccc(C2CC(c3ccc(NCn4cnc5ccccc54)cc3)=NN2c2ccccc2)c1,10.3390/antibiotics10081002,Synthesis of Antimicrobial Benzimidazole–Pyrazole Compounds and Their Biological Activities,MDPI AG,2021,1,88l,MIC,'=',"31,25",µg mL-1,Escherichia coli ATCC 25922,nan,17,table 10 (caption),nan,nan,17,table 10,nan,nan,18,scheme 24,18.0,scheme 24,antibiotics10081002
Cc1cc(C)n(C(=O)Cn2c(C3CC(=O)N(c4ccc(F)cc4)C3)nc3ccccc32)n1,10.3390/antibiotics10081002,Synthesis of Antimicrobial Benzimidazole–Pyrazole Compounds and Their Biological Activities,MDPI AG,2021,1,94b,MIC,'=',250,µg mL-1,Escherichia coli ATCC 8739,Escherichia coli,18,text,2.2. Benzimidazoles Substituted in the Position “1” with Pyrazole Moiety,nan,18,text,nan,nan,19,scheme 26,19.0,scheme 26,antibiotics10081002
O=[N+]([O-])c1ccc2[nH]c(-c3cn(-c4ccccc4)nc3-c3ccccc3)nc2c1,10.3390/antibiotics10081002,Synthesis of Antimicrobial Benzimidazole–Pyrazole Compounds and Their Biological Activities,MDPI AG,2021,1,28b,MIC,'=',312,µg mL-1,S. aureus,nan,7,table 1,nan,nan,7,table 1,nan,nan,6,scheme 8,6.0,scheme 8,antibiotics10081002
Oc1ccccc1-c1nn(-c2ccccc2)cc1-c1nc2ccccc2[nH]1,10.3390/antibiotics10081002,Synthesis of Antimicrobial Benzimidazole–Pyrazole Compounds and Their Biological Activities,MDPI AG,2021,1,28c,MIC,'=',312,µg mL-1,S. aureus,nan,7,table 1,nan,nan,7,table 1,nan,nan,6,scheme 8,6.0,scheme 8,antibiotics10081002
O=[N+]([O-])c1ccc2[nH]c(-c3cn(-c4ccccc4)nc3-c3ccccc3O)nc2c1,10.3390/antibiotics10081002,Synthesis of Antimicrobial Benzimidazole–Pyrazole Compounds and Their Biological Activities,MDPI AG,2021,1,28d,MIC,'=',"62,5",µg mL-1,S. aureus,nan,7,table 1,nan,nan,7,table 1,nan,nan,6,scheme 8,6.0,scheme 8,antibiotics10081002
c1ccc(-c2nn(-c3ccccn3)cc2-c2nc3ccccc3[nH]2)cc1,10.3390/antibiotics10081002,Synthesis of Antimicrobial Benzimidazole–Pyrazole Compounds and Their Biological Activities,MDPI AG,2021,1,28e,MIC,'=',"62,5",µg mL-1,S. aureus,nan,7,table 1,nan,nan,7,table 1,nan,nan,6,scheme 8,6.0,scheme 8,antibiotics10081002
O=[N+]([O-])c1ccc2[nH]c(-c3cn(-c4ccccn4)nc3-c3ccccc3)nc2c1,10.3390/antibiotics10081002,Synthesis of Antimicrobial Benzimidazole–Pyrazole Compounds and Their Biological Activities,MDPI AG,2021,1,28f,MIC,'=',"187,5",µg mL-1,S. aureus,nan,7,table 1,nan,nan,7,table 1,nan,nan,6,scheme 8,6.0,scheme 8,antibiotics10081002
Oc1ccccc1-c1nn(-c2ccccn2)cc1-c1nc2ccccc2[nH]1,10.3390/antibiotics10081002,Synthesis of Antimicrobial Benzimidazole–Pyrazole Compounds and Their Biological Activities,MDPI AG,2021,1,28g,MIC,'=',"62,5",µg mL-1,S. aureus,Escherichia coli,7,table 1,nan,nan,7,table 1,nan,nan,6,scheme 8,6.0,scheme 8,antibiotics10081002
O=[N+]([O-])c1ccc2[nH]c(-c3cn(-c4ccccn4)nc3-c3ccccc3O)nc2c1,10.3390/antibiotics10081002,Synthesis of Antimicrobial Benzimidazole–Pyrazole Compounds and Their Biological Activities,MDPI AG,2021,1,28h,MIC,'=',"62,5",µg mL-1,S. aureus,nan,7,table 1,nan,nan,7,table 1,nan,nan,6,scheme 8,6.0,scheme 8,antibiotics10081002
O=C(c1cccnc1)n1c(-c2cn(-c3ccccc3)nc2-c2ccc(F)cc2)nc2ccccc21,10.3390/antibiotics10081002,Synthesis of Antimicrobial Benzimidazole–Pyrazole Compounds and Their Biological Activities,MDPI AG,2021,1,67,MIC,'=',"0,68",µg mL-1,S. aureus,nan,12,text,"2. Synthesis, Antimicrobial Activities of Benzimidazole–Pyrazole Compounds. Benzimidazole–Pyrazole Compounds as Potent DNA Gyrase and Topoisomerase IV Inhibitors",2.1. Benzimidazoles Substituted in the “2” Position with Pyrazole Moiety,12,text,"2. Synthesis, Antimicrobial Activities of Benzimidazole–Pyrazole Compounds. Benzimidazole–Pyrazole Compounds as Potent DNA Gyrase and Topoisomerase IV Inhibitors",2.1. Benzimidazoles Substituted in the “2” Position with Pyrazole Moiety,13,scheme 17,nan,nan,antibiotics10081002
CCCCn1c(Cc2cc(C)[nH]n2)nc2ccccc21,10.3390/antibiotics10081002,Synthesis of Antimicrobial Benzimidazole–Pyrazole Compounds and Their Biological Activities,MDPI AG,2021,1,70,MIC,'=',"12,5",µg mL-1,S. aureus,nan,13,text,"2. Synthesis, Antimicrobial Activities of Benzimidazole–Pyrazole Compounds. Benzimidazole–Pyrazole Compounds as Potent DNA Gyrase and Topoisomerase IV Inhibitors",2.1. Benzimidazoles Substituted in the “2” Position with Pyrazole Moiety,13,text,"2. Synthesis, Antimicrobial Activities of Benzimidazole–Pyrazole Compounds. Benzimidazole–Pyrazole Compounds as Potent DNA Gyrase and Topoisomerase IV Inhibitors",2.1. Benzimidazoles Substituted in the “2” Position with Pyrazole Moiety,14,scheme 18,nan,nan,antibiotics10081002
Cc1cc(=O)n(Cc2nc3ccccc3[nH]2)[nH]1,10.3390/antibiotics10081002,Synthesis of Antimicrobial Benzimidazole–Pyrazole Compounds and Their Biological Activities,MDPI AG,2021,1,83a,MIC,'=',"156,25",µg mL-1,S. aureus,Staphylococcus aureus,16,table 9,nan,nan,16,table 9,nan,nan,17,scheme 22,17.0,scheme 22,antibiotics10081002
Cc1cc(=O)n(Cc2nc3ccc([N+](=O)[O-])cc3[nH]2)[nH]1,10.3390/antibiotics10081002,Synthesis of Antimicrobial Benzimidazole–Pyrazole Compounds and Their Biological Activities,MDPI AG,2021,1,83b,MIC,'=',2500,µg mL-1,S. aureus,Staphylococcus aureus,16,table 9,nan,nan,16,table 9,nan,nan,17,scheme 22,17.0,scheme 22,antibiotics10081002
Cn1c(-c2c(S(=O)(=O)c3ccccc3)nnc3cc(-c4ccc(Cl)cc4)nn23)nc2ccccc21,10.3390/antibiotics10081002,Synthesis of Antimicrobial Benzimidazole–Pyrazole Compounds and Their Biological Activities,MDPI AG,2021,1,74,MIC,'=',"25,3",µg mL-1,Staphylococcus aureus,Staphylococcus aureus,14,table 6,nan,nan,14,table 6,nan,nan,14,scheme 19,nan,nan,antibiotics10081002
ClN1N=C(c2c(-c3ccccc3)[nH]c3ccccc23)CC1c1nc2ccccc2[nH]1,10.3390/antibiotics10081002,Synthesis of Antimicrobial Benzimidazole–Pyrazole Compounds and Their Biological Activities,MDPI AG,2021,1,31a,MIC,'=',8,µg mL-1,Staphylococcus aureus (ATCC-29513),nan,7,table 2 (caption),nan,nan,7,table 2,nan,nan,6,scheme 9,6.0,scheme 9,antibiotics10081002
CN1N=C(c2c(-c3ccccc3)[nH]c3ccccc23)CC1c1nc2ccccc2[nH]1,10.3390/antibiotics10081002,Synthesis of Antimicrobial Benzimidazole–Pyrazole Compounds and Their Biological Activities,MDPI AG,2021,1,31b,MIC,'=',64,µg mL-1,Staphylococcus aureus (ATCC-29513),nan,7,table 2 (caption),nan,nan,7,table 2,nan,nan,6,scheme 9,6.0,scheme 9,antibiotics10081002
